iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
183,1,0.221804,0.910458,0.0795081,1.21177
184,1,0.222881,0.915517,0.0798484,1.21825
185,1,0.227356,0.919256,0.0801367,1.22675
186,1,0.228626,0.923707,0.0806116,1.23294
187,1,0.229953,0.928281,0.0811531,1.23939
188,1,0.231181,0.932806,0.0814793,1.24547
189,1,0.23235,0.937303,0.0819239,1.25158
190,1,0.233638,0.94183,0.0823647,1.25783
191,1,0.235277,0.945689,0.082729,1.2637
192,1,0.236534,0.950239,0.0829762,1.26975
193,1,0.237435,0.954836,0.0832659,1.27554
194,1,0.238684,0.959262,0.0835352,1.28148
195,1,0.239909,0.964051,0.0839899,1.28795
196,1,0.241131,0.96853,0.0844534,1.29411
197,1,0.242256,0.973096,0.0848779,1.30023
198,1,0.24345,0.977733,0.0851273,1.30631
199,1,0.244556,0.982459,0.0854976,1.31251
200,1,0.24562,0.987307,0.0858555,1.31878
201,1,0.246664,0.991895,0.0862331,1.32479
202,1,0.247494,0.996952,0.0866404,1.33109
203,1,0.248742,1.00154,0.0869329,1.33721
204,1,0.249935,1.00619,0.0874077,1.34354
205,1,0.251083,1.01069,0.087732,1.3495
206,1,0.252217,1.01539,0.0880571,1.35567
207,1,0.253334,1.02039,0.0883749,1.36209
208,1,0.254515,1.02521,0.0888506,1.36858
209,1,0.255675,1.02986,0.0892455,1.37478
210,1,0.256822,1.03452,0.0897516,1.3811
211,1,0.258017,1.03993,0.0901216,1.38807
212,1,0.25909,1.04467,0.0905395,1.3943
213,1,0.26015,1.04987,0.0910775,1.40109
214,1,0.261362,1.05457,0.0914391,1.40737
215,1,0.262368,1.05927,0.0918286,1.41347
216,1,0.263607,1.06379,0.0923182,1.41972
217,1,0.26469,1.06821,0.0927316,1.42563
218,1,0.265827,1.07276,0.0931378,1.43173
219,1,0.267079,1.07763,0.0936271,1.43834
220,1,0.268365,1.08217,0.0940749,1.44461
221,1,0.26966,1.08666,0.0972409,1.45356
222,1,0.270938,1.09132,0.0975925,1.45985
223,1,0.272218,1.09606,0.0978026,1.46608
224,1,0.273388,1.10124,0.098158,1.47278
225,1,0.274631,1.10615,0.0985751,1.47935
226,1,0.275815,1.11081,0.0989738,1.4856
227,1,0.276957,1.11518,0.0993655,1.4915
228,1,0.278109,1.11988,0.0997859,1.49778
229,1,0.279245,1.12455,0.10025,1.50405
230,1,0.280416,1.12953,0.100753,1.5107
231,1,0.28142,1.13399,0.101108,1.51652
232,1,0.282545,1.1386,0.101506,1.52265
233,1,0.283837,1.14293,0.101823,1.52859
234,1,0.28489,1.14731,0.102152,1.53435
235,1,0.286032,1.15179,0.10259,1.54041
236,1,0.287232,1.15639,0.102882,1.5465
237,1,0.288401,1.16097,0.103166,1.55254
238,1,0.289511,1.16572,0.103638,1.55887
239,1,0.290858,1.17024,0.104163,1.56526
240,1,0.291907,1.17489,0.104461,1.57126
241,1,0.293062,1.17948,0.104977,1.57752
242,1,0.294721,1.18494,0.105717,1.58538
243,1,0.296577,1.19088,0.106073,1.59353
244,1,0.297316,1.19595,0.106396,1.59966
245,1,0.298366,1.20054,0.106689,1.60559
246,1,0.299701,1.20519,0.107243,1.61213
247,1,0.30085,1.21004,0.107774,1.61866
248,1,0.303202,1.21393,0.108138,1.62527
249,1,0.304477,1.21895,0.108364,1.63179
250,1,0.305634,1.22373,0.108658,1.63802
251,1,0.307065,1.22916,0.10908,1.64531
252,1,0.308153,1.23384,0.109397,1.65139
253,1,0.309232,1.23857,0.109711,1.65751
254,1,0.310289,1.24379,0.110112,1.66419
255,1,0.311314,1.24846,0.110522,1.67029
256,1,0.312412,1.25299,0.110894,1.67629
257,1,0.313571,1.25762,0.111283,1.68248
258,1,0.314819,1.26259,0.111666,1.68908
259,1,0.316116,1.26745,0.112177,1.69574
260,1,0.317344,1.27188,0.112594,1.70182
261,1,0.318582,1.27668,0.113037,1.7083
262,1,0.319814,1.28131,0.113523,1.71465
263,1,0.320939,1.28582,0.113866,1.72062
264,1,0.322149,1.29076,0.114179,1.72709
265,1,0.323153,1.29621,0.114633,1.734
266,1,0.324325,1.30073,0.114927,1.73998
267,1,0.325331,1.30536,0.115292,1.74598
268,1,0.326404,1.31015,0.115602,1.75216
269,1,0.327422,1.31445,0.115957,1.75783
270,1,0.328592,1.31904,0.116251,1.76389
271,1,0.329755,1.32354,0.116576,1.76988
272,1,0.330835,1.32853,0.117008,1.77638
273,1,0.331871,1.33433,0.117492,1.78369
274,1,0.333411,1.33998,0.117849,1.79124
275,1,0.334568,1.34481,0.118215,1.7976
276,1,0.335766,1.34925,0.118604,1.80362
277,1,0.336811,1.35389,0.11889,1.80959
278,1,0.338005,1.35864,0.1192,1.81584
279,1,0.339271,1.36344,0.119684,1.8224
280,1,0.34025,1.3681,0.120014,1.82836
281,1,0.341354,1.3725,0.12039,1.83424
282,1,0.342614,1.37683,0.120844,1.84029
