iter,ant_move_s,phen_sync_s,evaporation_s,total_s
159,0.2007855,0.7917,0.071347775,1.0638325
160,0.20188425,0.79616175,0.071727,1.06977
161,0.20305325,0.800913,0.072139625,1.076105
162,0.20416025000000002,0.80536025,0.072504125,1.082025
163,0.20531975,0.8098435,0.072861075,1.0880225000000001
164,0.20651775,0.81436475,0.073165225,1.0940475
165,0.20774775,0.81901925,0.0735802,1.10035
166,0.208887,0.8240350000000001,0.07391,1.10683
167,0.20997075,0.82876525,0.07422045,1.1129575
168,0.211365,0.8329482500000001,0.074611225,1.1189225
169,0.21256575,0.83743425,0.075197775,1.1251975
170,0.21377825,0.84199775,0.07552252500000001,1.1312975
171,0.2151135,0.8463225,0.07591455,1.1373525
172,0.2163245,0.85099625,0.07629445,1.143615
173,0.2174245,0.85553075,0.076674275,1.14963
174,0.218448,0.8600297499999999,0.07699395,1.15547
175,0.219553,0.8647005,0.077351675,1.1616075000000001
176,0.22069375,0.8693522499999999,0.07785625,1.167905
177,0.221932,0.874041,0.0781628,1.1741375
178,0.2231405,0.87869975,0.078587175,1.1804275
179,0.22425875,0.88327825,0.07902722499999999,1.1865625
180,0.22552175,0.8881875,0.079465425,1.1931775
181,0.22674,0.8938675,0.079889,1.200495
182,0.227799,0.89867575,0.080357875,1.2068349999999999
183,0.2288865,0.9033497500000001,0.080695025,1.2129325
184,0.2300015,0.908364,0.08108032500000001,1.2194475
185,0.23199975,0.9145464999999999,0.08152045,1.228065
186,0.23319974999999998,0.9190635,0.08202242500000001,1.2342849999999999
187,0.23446325,0.92356525,0.082402425,1.2404324999999998
188,0.2356185,0.92817025,0.0828032,1.2465899999999999
189,0.23676550000000002,0.93268275,0.083201875,1.25265
190,0.237972,0.9374257500000001,0.08352470000000001,1.25892
191,0.23911575,0.94179775,0.083954875,1.2648675
192,0.2402695,0.9463382499999999,0.084278725,1.2708875
193,0.2413085,0.95090575,0.08457152500000001,1.276785
194,0.242482,0.95534175,0.0849052,1.2827275
195,0.24366025000000002,0.9599305,0.08533085,1.2889225
196,0.24471025,0.964757,0.08564622499999999,1.29511
197,0.245924,0.96922975,0.086028375,1.30118
198,0.2470235,0.9738702499999999,0.086323175,1.307215
199,0.24804725,0.97862525,0.08667715000000001,1.3133475000000001
200,0.24915725,0.98318275,0.08704575,1.319385
201,0.25033425,0.98765625,0.08749257499999999,1.3254825000000001
202,0.25142325,0.9924535,0.08787295,1.3317525
203,0.25256100000000004,0.9974155,0.08830969999999999,1.3382875
204,0.25372675,1.00209775,0.08904265,1.3448674999999999
205,0.2549025,1.0065485,0.089406375,1.3508575
206,0.25604175,1.01117,0.08976192499999999,1.3569775
207,0.25714275,1.0161825,0.09012995,1.36345
208,0.25826125,1.0208475,0.0905986,1.3697075
209,0.25941474999999997,1.0254975,0.09105435,1.3759675
